,id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx,image_link
13692,,,Misereris omnium domine et nihil odisti ,g00662,,,,CH-ROM : Ms. liturg. FiD 5,,015v,,,,feast_0660,genre_in,,http://musmed.eu/source/97795,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://www.e-codices.unifr.ch/en/fdr/0005/1r
13693,,,Misereris omnium domine et nihil odisti ,g00662,,,,D-DS : Hs 0545,,016v,,,,feast_0660,genre_in,,http://musmed.eu/source/9518,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitenciam et parcens illis quia tu es dominus deus noster,,,,,,http://tudigit.ulb.tu-darmstadt.de/show/Hs-545/0032/image
13694,,,Misereris omnium domine et nihil odisti ,g00662,,,,F-SEm : Ms 018,,0034,,,,feast_0660,genre_in,,http://musmed.eu/source/20281,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/24791/manifest
13695,,,Misereris omnium domine et nihil odisti ,g00662,,,,NL-Uu : Hs. 0415,,033v,,,,feast_0660,genre_in,,http://musmed.eu/source/15626,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitenciam et parcens illis quia tu es dominus deus noster,,,,,,http://objects.library.uu.nl/reader/index.php?obj=1874-339013&lan=en#page//23/55/36/23553692540522231471118221857340135070.jpg/mode/1up
13696,,,Misereris omnium domine et nihil odisti ,g00662,,,,V-CVbav : Ross.0076,,033r,,,,feast_0660,genre_in,,http://musmed.eu/source/98746,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://digi.vatlib.it/view/MSS_Ross.76/77
13697,,,Misereris omnium domine et nihil odisti ,g00662,,,,F-CA : Ms 0061 (62),,040r,,,,feast_0660,genre_in,,http://musmed.eu/source/9071,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&panier=false&reproductionId=19290&VUE_ID=1708878&carouselThere=false&nbVignettes=4x3&page=4&angle=0&zoom=moyen&tailleReelle=
13698,,,Misereris omnium domine et nihil odisti ,g00662,,,,F-CA : Ms 0075 (76),,054r,,,,feast_0660,genre_in,,http://musmed.eu/source/9073,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://bvmm.irht.cnrs.fr/iiif/32304/canvas/canvas-2842038/view
13699,,,Misereris omnium domine et nihil odisti ,g00662,aq = 1,,,D-LEu : Ms Thomas 391,,032r,,,,feast_0660,genre_in,,http://musmed.eu/source/138221,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,http://universalviewer.io/uv.html?manifest=https%3A//iiif.ub.uni-leipzig.de/0000032952/manifest.json#?c=0&m=0&s=0&cv=90&xywh=-5613%2C0%2C14968%2C5615
13700,,,Misereris omnium domine et nihil odisti ,g00662,,,,CH-Cobodmer : C 0074,,037v,,,,feast_0660,genre_in,,http://musmed.eu/source/9492,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parce illis quia tu es dominus deus noster,,,,,,https://www.e-codices.unifr.ch/de/fmb/cb-0074/37v/0/Sequence-825
13702,,,Misereris omnium domine et nihil odisti ,g00662,1,,,B-Br : II 3823,,034r,,,,feast_0660,genre_in,,http://musmed.eu/source/29526,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://services4.libis.be/mirador/index.html?json=617815c834270
13704,,,Misereris omnium *,g00662,,,,D-BAa : Msc Lit 005,,189v,,,,feast_0660,genre_in,,http://musmed.eu/source/8676,,,Misereris omnium *,,,,,,https://www.bavarikon.de/object/SBB-KHB-00000SBB00000127?cq=&p=383
